Step,Active_Hosts,Total_Power_W,Max_Temperature_C,Migrations,SLA_TAH,PDM
0,2,298.1510833333333,68.6606676098169,0,0.0,0.0
1,1,158.18689334303022,68.47011125715623,0,0.0,0.0
2,1,167.00715819451955,68.2386460686997,0,0.0,0.0
3,1,193.60229618350857,74.36004738539623,0,0.0,0.0
4,1,231.25607788025354,80.87531488792018,0,0.0,0.0
5,1,263.15075176280016,84.69834171800227,0,0.0,0.0
6,1,293.238730812168,87.60350437274455,0,0.0,0.0
7,1,348.6996452658377,92.90208760482948,0,0.0,0.0
8,1,374.9759551920696,102.62091024390128,1,5.555555555555555,0.01759788825340959
9,2,549.0393094666337,104.20859163490486,19,10.0,0.4122990915443746
10,2,561.528101898182,103.91614940555138,21,13.636363636363635,0.5263157894736842
11,2,593.501137599249,103.40452581934954,28,16.666666666666664,0.6763403836694539
12,2,679.6032399630908,103.99397643592654,31,19.230769230769234,0.7240495514737292
13,3,1035.6435080613683,104.03096302858715,36,19.841269841269842,0.7850852538879519
14,4,1316.9123087538835,104.37177837267768,41,31.30952380952381,0.7842166088822847
15,4,1476.7213258137901,104.42327562318634,67,38.541666666666664,0.9238415436339718
16,5,1756.8508691744341,104.41690925865552,78,41.14379084967321,0.9551733124837117
17,5,1753.3222075434524,104.40740756874968,95,47.111111111111114,0.9755812594929315
18,5,1787.5276092537065,104.35172114913192,112,51.15470494417863,1.0468436079094847
19,5,1799.3491492115088,104.23658556391665,125,54.14285714285714,1.0998552821997103
20,5,1829.0343394450279,104.34742053717616,148,56.47435897435897,1.120865478407377
21,5,1898.3792528993695,104.34986196589962,172,58.36219336219337,1.1411263916175503
22,6,2095.8479413605623,104.31693241346764,181,52.32459167241775,1.1257475963358312
23,6,2144.4991169102445,104.3426761005556,192,55.2209595959596,1.1015164279696712
24,6,2155.2076761036847,104.36693855906478,211,57.567736185383254,1.0802327862420715
25,6,2202.7091601503603,104.35999303349844,232,59.515669515669515,1.1012920526572403
26,6,2262.9285234981257,104.3360346371671,257,61.16360897062653,1.1020802546322606
27,6,2313.769913003396,104.33423503128043,279,62.57936507936509,1.1194861723021385
28,6,2323.568353507437,104.33442790798824,299,66.19213401540988,1.1011180124223596
29,6,2312.159285550232,104.34264914879432,324,69.06109413462354,1.1102807230603953
30,6,2307.682093475315,104.32210042401722,337,71.4112483079565,1.081879076326459
31,6,2298.0173984170033,104.33252292595547,354,73.38206627680313,1.0729631638229538
32,6,2249.123455029945,104.30232929057794,368,73.55012978077994,1.0551330798479097
33,6,2254.349993571441,104.28334886072668,381,75.13520792932557,1.0373694332365484
34,6,2275.2293931234935,104.34754770995058,397,75.23961094136533,1.0258992805755411
35,6,2219.142106141739,104.2676129830234,408,75.36603090950918,0.9991051762114557
36,6,2174.5277094158655,104.2784357916005,422,75.50609749822642,0.982529145612473
37,6,2175.365603990842,104.32523561763497,440,75.65410685805422,0.9601041038499409
38,6,2196.9871541944713,104.28675288986912,460,75.80613359451739,0.9514794344865521
39,6,2149.6594400475333,104.19125049938685,467,75.95946106362773,0.9237243246424609
40,6,2155.436294111297,104.30579188599648,474,74.82825658627971,0.9128878281622942
41,6,2177.617528117978,104.35310323242128,484,74.43157192142993,0.9011284698388324
42,6,2153.8500642032477,104.31739315963178,503,74.06975329856913,0.8924491205696401
43,6,2133.8891801883633,104.22516873775066,516,73.73845986749214,0.8749259955211232
44,6,2161.8564228765013,104.21067765222435,533,72.85933118094155,0.8657036648953453
