Step,Active_Hosts,Total_Power_W,Max_Temperature_C,Migrations,SLA_TAH,PDM
86,14,3212.06607023977,104.74303831369228,3442,19.211822660098523,1.70032745093735
87,14,3210.815417268296,104.63454928582223,3477,19.23701298701299,1.6948470209340272
88,14,3210.8115029344094,104.74306877384426,3512,19.261637239165328,1.688647530385361
89,14,3280.7343344630085,104.86147687740032,3529,19.285714285714285,1.6777319983776084
90,14,3252.400908097351,104.8825482607826,3573,19.309262166405023,1.6762522994946893
91,14,3249.367733677421,104.81488658850905,3634,19.33229813664596,1.676999769599782
92,14,3169.244872832954,104.56779220025129,3681,19.35483870967742,1.6747290619939883
93,14,3169.368560946673,104.83911859655382,3725,19.376899696048632,1.6725667359582288
94,14,3150.6434064157866,104.76049171781693,3757,19.398496240601503,1.6651032851404481
95,14,3153.057171322789,104.84610446322701,3780,19.419642857142858,1.656857301499217
96,14,3170.533705766435,104.78288804388228,3819,19.44035346097202,1.6507707995921561
97,14,3156.509923500765,104.8465374982339,3881,19.460641399416907,1.6496009189757088
98,14,3152.9797938580423,104.79099538626856,3918,19.48051948051948,1.6442455820160822
99,14,3147.357768903068,104.78152831722181,3975,19.5,1.6489191002713677
100,14,3129.0367647928488,104.76840412956861,4002,19.51909476661952,1.6440759664514124
101,14,3128.993414086816,104.79449521857957,4027,19.537815126050422,1.6401089709889116
102,14,3131.778203428701,104.80640025173291,4072,19.556171983356446,1.6370427248339154
103,14,3103.6140436205474,104.72092425149698,4118,19.574175824175825,1.6335646711430056
104,14,3091.2632037090134,104.62076174554697,4164,19.591836734693878,1.6312857502776497
105,14,3074.4484860179477,104.7263040590791,4199,19.60916442048518,1.6316588871601545
106,14,3027.8918336416314,104.74779974779143,4215,19.626168224299064,1.626576924491567
107,14,3007.2133756790745,104.23525402007965,4228,19.642857142857142,1.6187763077401125
108,14,2970.7051658819837,103.73688771747442,4240,19.65923984272608,1.6103931437900045
109,14,2936.987405805702,102.750634864496,4249,19.675324675324674,1.6027789792387974
110,14,2897.4596909075076,101.26024354304282,4254,19.626769626769626,1.593648689796034
111,12,2597.7884138433433,96.32959593118342,4254,19.515306122448976,1.5840588224821945
112,12,2562.419500518251,92.80807374710729,4254,19.342604298356513,1.5749181343482146
113,12,2508.7690723243823,90.45583746582292,4254,19.172932330827066,1.5665715895486019
114,12,2459.4643244721947,90.25566079309921,4254,19.006211180124225,1.5587498467091045
115,12,2423.7743841454844,89.3691024603375,4254,18.842364532019705,1.5513032865487295
116,12,2399.0449314078746,89.12939072397339,4254,18.681318681318682,1.544155291953426
117,12,2386.145904429564,90.58948507756857,4254,18.523002421307506,1.5372986048119284
118,12,2373.755728279692,89.47128198682026,4254,18.367346938775512,1.5308053610447223
119,12,2334.3121973346583,88.41706758981778,4254,18.214285714285715,1.5246932620467886
120,12,2307.766958459891,87.93348523802524,4254,18.06375442739079,1.5187075410508037
121,12,2295.1174453247577,86.87265941826081,4254,17.915690866510538,1.512987289036303
122,12,2290.144139151693,88.20936712365834,4254,17.770034843205575,1.5074887330148485
123,12,2249.3377745637995,87.40993617191565,4254,17.626728110599075,1.5022836061560685
124,12,2231.639348417639,89.10978355000907,4254,17.485714285714288,1.4972528628282873
125,12,2221.243285710173,87.96102862481725,4254,17.346938775510203,1.4924434305651473
126,12,2217.668759431928,89.776288336672,4254,17.210348706411697,1.4877642986732167
127,12,2190.218650829782,87.94063634743043,4254,17.075892857142858,1.4832751248218718
128,12,2176.20136688941,88.67051550473315,4254,16.943521594684388,1.478898991074288
129,12,2158.39179848213,87.52614626676703,4254,16.813186813186814,1.4747319045961975
130,12,2121.1800181852104,85.32218796150947,4254,16.68484187568157,1.4707827093148589
131,12,2106.066470233169,85.50885310191379,4254,16.558441558441555,1.4669876260274253
132,11,1936.1053845512108,86.56664959925645,4254,16.433941997851772,1.463404605263197
133,11,1942.704740331358,88.12841406457953,4254,16.31130063965885,1.4598629968415833
134,11,1942.642162780078,87.66661533933231,4254,16.19047619047619,1.4563861653544987
135,11,1902.4224076375554,86.53348427282522,4254,16.071428571428573,1.4531038199605166
136,10,1748.1535481830501,88.7520695886859,4254,15.954118873826904,1.4500016296731266
137,10,1739.088795510353,88.20624399185508,4254,15.838509316770185,1.4470185481838456
138,10,1724.1058622139496,86.7357530591723,4254,15.724563206577596,1.4440711526601484
139,8,1409.3990417067844,87.56388183002547,4254,15.612244897959183,1.4414159005305964
140,8,1406.3236088773058,87.07656626822245,4254,15.501519756838904,1.4387936610608407
141,6,1075.658149192963,86.91822759422945,4254,15.397348630791843,1.4363664247835142
142,4,786.0387684733612,88.89211669544996,4254,15.294634443570615,1.4341091518649043
143,4,784.3632835454159,86.37754319754637,4254,15.193346842283011,1.4319626619458017
