Step,Active_Hosts,Total_Power_W,Max_Temperature_C,Migrations,SLA_TAH,PDM
87,7,2264.84629061616,93.516184054181,289,9.181051648203876,0.24370321468932865
88,7,2270.036066542387,92.99890774016912,292,9.056703716668233,0.2418113140667057
89,7,2240.7464378982454,93.36585272770344,294,8.935691835887528,0.24002281752561477
90,7,2250.311173799127,92.82215827352219,297,8.817883046364697,0.23945329900155352
91,7,2212.9702028252595,93.41705685197421,300,8.703151386136083,0.23775952814043838
92,7,2296.603996942931,93.07971292861444,306,8.591377434848315,0.23663275534796407
93,7,2325.9052228154155,94.7311201687844,306,8.48244789314134,0.2344847991715362
94,7,2320.226576931309,94.04735892909149,306,8.376255194178137,0.23234628916066324
95,7,2273.6935087314523,94.8779608499661,306,8.272697144481752,0.2303133465494513
96,7,2241.7535519285057,94.16810435693364,306,8.171676591524179,0.2283532632185562
97,7,2210.65265044291,94.11075391689982,306,8.073101115763963,0.22638468052112326
98,7,2210.514836020684,93.64052731292496,308,7.976882745053883,0.22471228945852806
99,7,2207.403518733756,94.34215452593388,312,7.882937689540208,0.22387462220531998
100,7,2202.410565494882,94.37073334319358,314,7.791186095353721,0.22255045798802475
101,7,2175.5535322886417,93.87054950448879,318,7.701551815552318,0.22209561604274913
102,7,2182.81519417847,94.51909505772385,319,7.613962196918032,0.22049375024337045
103,7,2162.7089573414373,91.97539325316458,321,7.528347881339524,0.21936343106410072
104,7,2145.6834341540143,92.49061638103302,322,7.444642620626059,0.2178926517449593
105,7,2146.2844147502624,92.47085045512367,327,7.362783103702506,0.21751921799373625
106,7,2127.421647342414,93.28176410043933,327,7.282708795227961,0.21579888899350336
107,7,2095.904559949379,91.83882067841597,327,7.204361784764404,0.21415757213335318
108,7,2095.927876275406,91.85762668675395,327,7.127686645697666,0.21254300472008672
109,7,2084.6608504479627,91.91054864941039,327,7.0526303031811395,0.21097978570639558
110,7,2038.0122126220158,91.5166168277612,327,6.979141910434676,0.20951788946377306
111,7,1987.090425880752,91.96894944119657,327,6.907172732787028,0.20814035852449184
112,7,1944.1828051670752,90.66910060581434,327,6.836676038900909,0.20683120516175596
113,7,1936.8794841844237,89.91154522594192,327,6.767606998665916,0.20555132056858427
114,7,1882.3884137066188,90.28615092487898,327,6.699922587286228,0.20432178005990578
115,7,1864.1052438613758,90.04175324710418,327,6.63358149512818,0.20314466523673613
116,7,1831.0771953657882,88.3507536240475,327,6.5685440429273445,0.20208610702099325
117,7,1777.727744197074,89.67661990047087,327,6.504772101986347,0.20109143869869614
118,7,1744.026390657226,89.32841680470139,327,6.442229019023392,0.20014320892785403
119,7,1722.2991965231536,90.36006692432561,327,6.380879545357749,0.19923331681748235
120,7,1720.5962632508586,89.46154094833955,327,6.320689770142477,0.1983539735701118
121,7,1682.04366383539,89.27381825732859,327,6.261627057376554,0.19753171538885814
122,7,1663.891466197455,88.3597009449322,327,6.203659986448757,0.1967331313356737
123,7,1625.8367534573188,87.14711315096596,327,6.146758295983997,0.19597113444372233
124,7,1628.130961940088,87.84725502806755,327,6.090892830779676,0.19522166858310966
125,7,1612.264467177685,88.866320978004,327,6.03603549163522,0.1945010183299388
126,7,1570.524204903338,87.9187378936099,327,5.982159187892062,0.1938233602814328
127,7,1550.628415803892,87.64015451315153,327,5.929237792514534,0.19316343042071188
128,7,1527.333839957292,84.6417621971898,327,5.877246099554074,0.19253061841641037
129,7,1502.1909853571601,84.13246284073348,327,5.826159783850333,0.19191640081388622
130,7,1498.8003144615761,84.56265683770124,327,5.775955362832873,0.1913252529299809
131,7,1471.7328940472134,85.06989869199283,327,5.726610160296679,0.19075837272787793
132,7,1455.6530122255604,81.30175234374998,327,5.678102272033292,0.19021851891811134
133,7,1458.9814154066578,80.79058900683867,327,5.630410533207473,0.18968642153089846
134,7,1424.8858308771353,81.03220310822724,327,5.583514487376672,0.1891838351822503
135,7,1418.3706787358478,80.23411103615994,327,5.537394357057478,0.1886994393354354
136,7,1420.6592525656465,82.32635100324568,327,5.492031015749537,0.18823297526362465
137,7,1408.289710610086,82.63024485192427,327,5.447405961333313,0.1877765033590037
138,7,1388.8094308430716,81.65172453079,327,5.403501290763536,0.18732989513775933
139,7,1337.831150218401,79.38639447519235,327,5.360299675985174,0.1869082665318404
140,7,1309.9379790525677,78.15690810093491,327,5.317784341003529,0.18650977711593383
141,7,1289.8017441899558,77.24026999565295,327,5.2759390400443404,0.18612960857560493
142,7,1293.1796742118208,78.13529839440803,327,5.234748036743835,0.18577658177573875
143,7,1265.9160665403695,78.02127091048885,327,5.194196084312468,0.18543839351451055
